tgl,ot,lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2,kategori_kerusakan
2021-01-03,05:55:04.575,-8.38,108.12,19,3.0,Java - Indonesia,,,,,,,Aman
2021-01-04,20:35:23.736,-9.25,113.11,53,3.4,South of Java - Indonesia,,,,,,,Aman
2021-01-04,18:47:26.197,-9.71,112.86,10,3.3,South of Java - Indonesia,,,,,,,Aman
2021-01-04,09:22:13.979,-8.41,108.97,25,3.6,Java - Indonesia,,,,,,,Aman
2021-01-05,23:42:47.475,-7.47,106.71,36,3.2,Java - Indonesia,,,,,,,Aman
2021-01-05,15:13:09.037,-7.26,106.17,26,3.8,Java - Indonesia,,,,,,,Aman
2021-01-05,11:36:04.950,-8.86,110.13,21,3.1,Java - Indonesia,,,,,,,Aman
2021-01-05,10:09:16.648,-7.63,106.22,23,3.0,Java - Indonesia,,,,,,,Aman
2021-01-07,23:25:44.330,-7.76,106.11,10,3.8,Java - Indonesia,,,,,,,Aman
2021-01-07,19:05:35.415,-7.34,109.11,233,4.1,Java - Indonesia,,,,,,,Aman
2021-01-07,14:44:04.392,-8.79,110.31,10,4.8,Java - Indonesia,,,,,,,Aman
2021-01-07,13:54:28.180,-7.97,117.25,17,3.9,Bali Sea,,,,,,,Aman
2021-01-07,07:19:24.290,-7.14,107.02,81,2.7,Java - Indonesia,,,,,,,Aman
2021-01-07,04:39:40.787,-8.88,111.19,24,3.7,Java - Indonesia,,,,,,,Aman
2021-01-09,19:27:26.623,-9.07,113.77,14,3.7,South of Java - Indonesia,,,,,,,Aman
2021-01-10,23:00:20.759,-7.63,105.99,21,3.4,Java - Indonesia,,,,,,,Aman
2021-01-10,00:15:30.383,-10.9,109.61,10,4.5,South of Java - Indonesia,,,,,,,Aman
2021-01-11,12:35:05.491,-6.79,106.97,10,3.2,Java - Indonesia,,,,,,,Aman
2021-01-11,10:52:25.818,-8.09,107.91,13,3.8,Java - Indonesia,,,,,,,Aman
2021-01-11,08:18:12.833,-9.17,113.57,20,3.6,South of Java - Indonesia,,,,,,,Aman
2021-01-11,08:18:11.661,-9.23,113.59,10,3.7,South of Java - Indonesia,,,,,,,Aman
2021-01-12,22:07:52.350,-8.41,108.03,10,3.4,Java - Indonesia,,,,,,,Aman
2021-01-12,09:17:11.906,-8.79,111.16,19,3.2,Java - Indonesia,,,,,,,Aman
2021-01-13,17:36:52.354,-7.59,109.4,5,3.8,Java - Indonesia,162.8,52.1,-10.1,259.04,82.0,-141.7,Aman
2021-01-13,17:36:52.354,-7.59,109.4,5,3.8,Java - Indonesia,,,,,,,Aman
2021-01-13,16:36:33.949,-8.38,108.73,72,3.5,Java - Indonesia,,,,,,,Aman
2021-01-13,14:34:59.969,-6.66,110.77,575,4.5,Java - Indonesia,,,,,,,Aman
2021-01-13,12:33:08.229,-7.93,110.52,10,2.7,Java - Indonesia,,,,,,,Aman
2021-01-14,01:51:15.417,-8.39,105.32,10,4.0,South of Java - Indonesia,,,,,,,Aman
2021-01-15,17:22:57.263,-8.91,111.15,10,3.1,Java - Indonesia,,,,,,,Aman
2021-01-15,14:17:03.277,-8.55,108.69,44,4.4,Java - Indonesia,,,,,,,Aman
2021-01-15,05:00:35.842,-8.3,110.67,89,2.5,Java - Indonesia,,,,,,,Aman
2021-01-15,01:05:00.879,-8.23,107.92,10,2.9,Java - Indonesia,,,,,,,Aman
2021-01-17,17:34:41.147,-8.97,112.95,17,3.9,Java - Indonesia,,,,,,,Aman
2021-01-18,16:18:24.465,-8.87,110.24,10,3.5,Java - Indonesia,,,,,,,Aman
2021-01-18,10:42:59.677,-9.17,113.18,10,3.4,South of Java - Indonesia,,,,,,,Aman
2021-01-19,20:11:00.821,-8.93,110.59,50,5.0,Java - Indonesia,150.5,71.9,23.6,52.8,67.6,160.4,Aman
2021-01-19,20:11:00.821,-8.93,110.59,50,5.0,Java - Indonesia,,,,,,,Aman
2021-01-19,18:56:48.862,-7.27,106.02,18,3.4,Java - Indonesia,,,,,,,Aman
2021-01-19,16:06:36.277,-7.02,106.76,10,2.2,Java - Indonesia,,,,,,,Aman
2021-01-19,15:50:55.474,-7.81,107.27,30,3.2,Java - Indonesia,,,,,,,Aman
2021-01-19,09:52:25.821,-8.11,107.84,27,3.6,Java - Indonesia,,,,,,,Aman
2021-01-20,21:10:50.311,-7.83,107.26,27,3.6,Java - Indonesia,,,,,,,Aman
2021-01-21,02:52:09.428,-7.01,106.32,10,3.0,Java - Indonesia,,,,,,,Aman
2021-01-24,23:13:21.802,-9.55,112.89,10,3.8,South of Java - Indonesia,,,,,,,Aman
2021-01-24,15:41:20.452,-8.4,107.97,10,3.0,Java - Indonesia,,,,,,,Aman
2021-01-24,08:47:53.177,-8.01,108.74,73,2.6,Java - Indonesia,,,,,,,Aman
2021-01-24,05:42:10.026,-8.96,110.37,50,3.2,Java - Indonesia,,,,,,,Aman
2021-01-25,15:39:25.446,-7.36,106.63,81,3.1,Java - Indonesia,,,,,,,Aman
2021-01-26,21:07:42.125,-8.79,110.95,38,4.1,Java - Indonesia,,,,,,,Aman
2021-01-27,15:10:17.417,-8.56,111.65,57,3.0,Java - Indonesia,,,,,,,Aman
2021-01-30,23:29:25.646,-9.14,110.63,10,3.3,South of Java - Indonesia,,,,,,,Aman
2021-01-30,21:54:07.635,-7.87,117.67,22,3.1,Bali Sea,,,,,,,Aman
2021-01-30,20:28:09.459,-8.36,107.8,10,2.9,Java - Indonesia,,,,,,,Aman
2021-01-30,14:34:54.032,-9.12,110.36,10,4.6,South of Java - Indonesia,,,,,,,Aman
2021-01-31,16:42:38.860,-9.35,106.99,23,4.1,South of Java - Indonesia,,,,,,,Aman
2021-01-31,11:37:11.685,-8.06,107.36,21,3.8,Java - Indonesia,,,,,,,Aman
2021-01-31,10:51:29.546,-9.55,112.17,18,3.5,South of Java - Indonesia,,,,,,,Aman
2021-01-31,05:16:34.770,-7.87,105.91,14,3.7,Java - Indonesia,,,,,,,Aman
2021-02-01,12:49:35.581,-8.12,107.89,14,4.0,Java - Indonesia,,,,,,,Aman
2021-02-01,04:43:38.705,-7.98,110.44,14,2.2,Java - Indonesia,,,,,,,Aman
2021-02-02,23:39:36.581,-8.43,108.95,67,4.3,Java - Indonesia,,,,,,,Aman
2021-02-03,13:28:03.936,-8.57,107.97,10,3.2,Java - Indonesia,,,,,,,Aman
